Matrix1,Matrix2,cuBlas (µs),cuSparse (µs),gpuDense (µs),gpuSparse (µs),Blas (µs),cpuSparseParallel (µs),cpuDenseParallel (µs)
dense_100_A.mtx,dense_100_B.mtx,33045,2370,0,0,58,0,0
dense_100_B.mtx,dense_100_A.mtx,1476,2030,0,0,58,0,0
dense_10_A.mtx,dense_10_B.mtx,3959,1323,0,0,0,0,0
dense_10_B.mtx,dense_10_A.mtx,1323,1382,0,0,0,0,0
dense_110_A.mtx,dense_110_B.mtx,1389,1782,0,0,73,0,0
dense_110_B.mtx,dense_110_A.mtx,1620,1542,0,0,81,0,0
dense_120_A.mtx,dense_120_B.mtx,1976,1814,0,0,92,0,0
dense_120_B.mtx,dense_120_A.mtx,1692,1490,0,0,85,0,0
dense_130_A.mtx,dense_130_B.mtx,2137,1368,0,0,96,0,0
dense_130_B.mtx,dense_130_A.mtx,1479,1563,0,0,97,0,0
dense_140_A.mtx,dense_140_B.mtx,1667,1549,0,0,111,0,0
dense_140_B.mtx,dense_140_A.mtx,1441,1706,0,0,119,0,0
dense_150_A.mtx,dense_150_B.mtx,1384,1843,0,0,135,0,0
dense_150_B.mtx,dense_150_A.mtx,1369,1849,0,0,135,0,0
dense_160_A.mtx,dense_160_B.mtx,1418,1782,0,0,153,0,0
dense_160_B.mtx,dense_160_A.mtx,1347,1795,0,0,151,0,0
dense_170_A.mtx,dense_170_B.mtx,1394,1996,0,0,160,0,0
dense_170_B.mtx,dense_170_A.mtx,1395,1990,0,0,168,0,0
dense_180_A.mtx,dense_180_B.mtx,1419,2176,0,0,183,0,0
dense_180_B.mtx,dense_180_A.mtx,1329,2027,0,0,181,0,0
dense_190_A.mtx,dense_190_B.mtx,1410,2194,0,0,212,0,0
dense_190_B.mtx,dense_190_A.mtx,1361,2084,0,0,202,0,0
dense_200_A.mtx,dense_200_B.mtx,1355,2121,0,0,182,0,0
dense_200_B.mtx,dense_200_A.mtx,1451,2101,0,0,243,0,0
dense_20_A.mtx,dense_20_B.mtx,1322,1376,0,0,2,0,0
dense_20_B.mtx,dense_20_A.mtx,1330,1143,0,0,2,0,0
dense_210_A.mtx,dense_210_B.mtx,1379,2479,0,0,249,0,0
dense_210_B.mtx,dense_210_A.mtx,1376,2382,0,0,247,0,0
dense_220_A.mtx,dense_220_B.mtx,1348,2459,0,0,276,0,0
dense_220_B.mtx,dense_220_A.mtx,1407,2476,0,0,272,0,0
dense_230_A.mtx,dense_230_B.mtx,1256,2427,0,0,289,0,0
dense_230_B.mtx,dense_230_A.mtx,1370,2922,0,0,290,0,0
dense_240_A.mtx,dense_240_B.mtx,1418,2831,0,0,316,0,0
dense_240_B.mtx,dense_240_A.mtx,1433,2885,0,0,322,0,0
dense_250_A.mtx,dense_250_B.mtx,1434,3866,0,0,342,0,0
dense_250_B.mtx,dense_250_A.mtx,1955,4159,0,0,349,0,0
dense_260_A.mtx,dense_260_B.mtx,1460,4322,0,0,370,0,0
dense_260_B.mtx,dense_260_A.mtx,1460,4486,0,0,368,0,0
dense_270_A.mtx,dense_270_B.mtx,1350,3871,0,0,408,0,0
dense_270_B.mtx,dense_270_A.mtx,1456,4518,0,0,407,0,0
dense_280_A.mtx,dense_280_B.mtx,1572,4713,0,0,443,0,0
dense_280_B.mtx,dense_280_A.mtx,1565,4563,0,0,460,0,0
dense_290_A.mtx,dense_290_B.mtx,1465,4859,0,0,454,0,0
dense_290_B.mtx,dense_290_A.mtx,1559,5092,0,0,468,0,0
dense_300_A.mtx,dense_300_B.mtx,1555,5570,0,0,506,0,0
dense_300_B.mtx,dense_300_A.mtx,1449,5170,0,0,501,0,0
dense_30_A.mtx,dense_30_B.mtx,1303,1348,0,0,3,0,0
dense_30_B.mtx,dense_30_A.mtx,1360,1266,0,0,4,0,0
dense_310_A.mtx,dense_310_B.mtx,1505,5612,0,0,527,0,0
dense_310_B.mtx,dense_310_A.mtx,1486,5793,0,0,550,0,0
dense_320_A.mtx,dense_320_B.mtx,1678,6239,0,0,579,0,0
dense_320_B.mtx,dense_320_A.mtx,1822,6295,0,0,571,0,0
dense_330_A.mtx,dense_330_B.mtx,1382,6071,0,0,625,0,0
dense_330_B.mtx,dense_330_A.mtx,1567,6778,0,0,620,0,0
dense_340_A.mtx,dense_340_B.mtx,1553,7813,0,0,643,0,0
dense_340_B.mtx,dense_340_A.mtx,1652,7706,0,0,652,0,0
dense_350_A.mtx,dense_350_B.mtx,1539,8109,0,0,725,0,0
dense_350_B.mtx,dense_350_A.mtx,1620,8488,0,0,760,0,0
dense_360_A.mtx,dense_360_B.mtx,1590,8564,0,0,984,0,0
dense_360_B.mtx,dense_360_A.mtx,1585,8450,0,0,824,0,0
dense_370_A.mtx,dense_370_B.mtx,1593,9025,0,0,807,0,0
dense_370_B.mtx,dense_370_A.mtx,1646,8693,0,0,881,0,0
dense_380_A.mtx,dense_380_B.mtx,1656,9158,0,0,821,0,0
dense_380_B.mtx,dense_380_A.mtx,1594,9148,0,0,921,0,0
dense_390_A.mtx,dense_390_B.mtx,1706,9866,0,0,1010,0,0
dense_390_B.mtx,dense_390_A.mtx,1673,10042,0,0,1022,0,0
dense_400_A.mtx,dense_400_B.mtx,1753,10362,0,0,983,0,0
dense_400_B.mtx,dense_400_A.mtx,1718,10341,0,0,952,0,0
dense_40_A.mtx,dense_40_B.mtx,1232,1071,0,0,5,0,0
dense_40_B.mtx,dense_40_A.mtx,1198,997,0,0,5,0,0
dense_410_A.mtx,dense_410_B.mtx,2091,10959,0,0,1025,0,0
dense_410_B.mtx,dense_410_A.mtx,2049,11030,0,0,1179,0,0
dense_420_A.mtx,dense_420_B.mtx,2068,11377,0,0,1079,0,0
dense_420_B.mtx,dense_420_A.mtx,1964,10865,0,0,1066,0,0
dense_430_A.mtx,dense_430_B.mtx,1979,12937,0,0,1306,0,0
dense_430_B.mtx,dense_430_A.mtx,2324,14726,0,0,1149,0,0
dense_440_A.mtx,dense_440_B.mtx,2372,14611,0,0,1288,0,0
dense_440_B.mtx,dense_440_A.mtx,2312,14655,0,0,1200,0,0
dense_450_A.mtx,dense_450_B.mtx,2028,13585,0,0,1301,0,0
