Matrix1,Matrix2,cuBlas (µs),cuSparse (µs),gpuDense (µs),gpuSparse (µs),Blas (µs),cpuSparseParallel (µs),cpuDenseParallel (µs)
dense_100_A.mtx,dense_100_B.mtx,46,2188,0,0,742,2226,654
dense_100_B.mtx,dense_100_A.mtx,12,2314,0,0,89,547,1561
dense_10_A.mtx,dense_10_B.mtx,19,602,0,0,1,584,574
dense_10_B.mtx,dense_10_A.mtx,10,664,0,0,0,604,554
dense_110_A.mtx,dense_110_B.mtx,10,2810,0,0,162,2329,2412
dense_110_B.mtx,dense_110_A.mtx,10,2742,0,0,99,1286,1942
dense_120_A.mtx,dense_120_B.mtx,13,3325,0,0,141,1951,2365
dense_120_B.mtx,dense_120_A.mtx,16,3350,0,0,90,2064,1619
dense_130_A.mtx,dense_130_B.mtx,163,4013,0,0,140,1983,2899
dense_130_B.mtx,dense_130_A.mtx,18,4088,0,0,119,1714,2509
dense_140_A.mtx,dense_140_B.mtx,15,5524,0,0,123,3687,3354
dense_140_B.mtx,dense_140_A.mtx,10,4991,0,0,839,1933,3204
dense_150_A.mtx,dense_150_B.mtx,14,5714,0,0,154,3179,4878
dense_150_B.mtx,dense_150_A.mtx,15,5715,0,0,1989,1954,3083
dense_160_A.mtx,dense_160_B.mtx,15,6575,0,0,146,2620,3799
dense_160_B.mtx,dense_160_A.mtx,14,6622,0,0,169,2831,3905
dense_170_A.mtx,dense_170_B.mtx,18,9017,0,0,185,4105,4340
dense_170_B.mtx,dense_170_A.mtx,13,9000,0,0,195,5038,3992
dense_180_A.mtx,dense_180_B.mtx,15,10431,0,0,234,4843,4259
dense_180_B.mtx,dense_180_A.mtx,13,10387,0,0,240,4677,4202
dense_190_A.mtx,dense_190_B.mtx,16,12103,0,0,232,4885,4691
dense_190_B.mtx,dense_190_A.mtx,14,12199,0,0,313,6201,4614
dense_200_A.mtx,dense_200_B.mtx,13,13700,0,0,956,7760,3446
dense_200_B.mtx,dense_200_A.mtx,19,13842,0,0,255,5345,4256
dense_20_A.mtx,dense_20_B.mtx,8,675,0,0,0,967,1001
dense_20_B.mtx,dense_20_A.mtx,10,581,0,0,0,1026,957
dense_210_A.mtx,dense_210_B.mtx,18,15533,0,0,297,6928,3948
dense_210_B.mtx,dense_210_A.mtx,13,15505,0,0,216,5650,4557
dense_220_A.mtx,dense_220_B.mtx,12,17915,0,0,327,7642,4246
dense_220_B.mtx,dense_220_A.mtx,13,18013,0,0,332,7022,4280
dense_230_A.mtx,dense_230_B.mtx,10,20739,0,0,257,7243,4562
dense_230_B.mtx,dense_230_A.mtx,12,20649,0,0,263,6912,4808
dense_240_A.mtx,dense_240_B.mtx,16,23358,0,0,310,7644,5076
dense_240_B.mtx,dense_240_A.mtx,15,23134,0,0,490,7360,5031
dense_250_A.mtx,dense_250_B.mtx,15,27183,0,0,285,7898,5670
dense_250_B.mtx,dense_250_A.mtx,36,27194,0,0,270,8154,5519
dense_260_A.mtx,dense_260_B.mtx,15,30414,0,0,317,8661,6209
dense_260_B.mtx,dense_260_A.mtx,15,30557,0,0,380,8664,6323
dense_270_A.mtx,dense_270_B.mtx,13,34573,0,0,326,9357,7373
dense_270_B.mtx,dense_270_A.mtx,16,34245,0,0,352,8999,7154
dense_280_A.mtx,dense_280_B.mtx,14,39188,0,0,356,10220,7579
dense_280_B.mtx,dense_280_A.mtx,13,38961,0,0,446,9573,7756
dense_290_A.mtx,dense_290_B.mtx,18,42971,0,0,672,10257,8225
dense_290_B.mtx,dense_290_A.mtx,14,43104,0,0,590,10082,8497
dense_300_A.mtx,dense_300_B.mtx,14,48473,0,0,822,10399,8988
dense_300_B.mtx,dense_300_A.mtx,17,48440,0,0,604,11281,8955
dense_30_A.mtx,dense_30_B.mtx,8,685,0,0,3,1137,1207
dense_30_B.mtx,dense_30_A.mtx,12,684,0,0,3,1170,1153
dense_310_A.mtx,dense_310_B.mtx,16,53716,0,0,556,11360,9832
dense_310_B.mtx,dense_310_A.mtx,17,53613,0,0,651,11550,9649
dense_320_A.mtx,dense_320_B.mtx,21,59770,0,0,534,12421,11257
dense_320_B.mtx,dense_320_A.mtx,16,59696,0,0,642,11682,10779
dense_330_A.mtx,dense_330_B.mtx,17,67265,0,0,1193,12363,11564
dense_330_B.mtx,dense_330_A.mtx,16,67354,0,0,693,12280,11532
dense_340_A.mtx,dense_340_B.mtx,15,72752,0,0,793,13583,12206
dense_340_B.mtx,dense_340_A.mtx,23,72815,0,0,794,13446,12584
dense_350_A.mtx,dense_350_B.mtx,16,80769,0,0,931,13865,13386
dense_350_B.mtx,dense_350_A.mtx,18,80503,0,0,1180,14121,13313
dense_360_A.mtx,dense_360_B.mtx,17,89271,0,0,1551,14315,14805
dense_360_B.mtx,dense_360_A.mtx,16,89170,0,0,1308,14556,14433
dense_370_A.mtx,dense_370_B.mtx,18,96788,0,0,2121,15202,15576
dense_370_B.mtx,dense_370_A.mtx,18,96854,0,0,1538,15562,15546
dense_380_A.mtx,dense_380_B.mtx,22,106481,0,0,1226,16571,16974
dense_380_B.mtx,dense_380_A.mtx,17,106586,0,0,1123,16949,16714
dense_390_A.mtx,dense_390_B.mtx,17,114907,0,0,1036,17587,17962
dense_390_B.mtx,dense_390_A.mtx,15,114748,0,0,1058,17323,18797
dense_400_A.mtx,dense_400_B.mtx,19,125014,0,0,1471,18281,20171
dense_400_B.mtx,dense_400_A.mtx,14,125083,0,0,1689,17569,19985
dense_40_A.mtx,dense_40_B.mtx,7,496,0,0,4,1471,1082
dense_40_B.mtx,dense_40_A.mtx,9,532,0,0,5,1483,1302
dense_410_A.mtx,dense_410_B.mtx,20,136973,0,0,1822,19499,21170
dense_410_B.mtx,dense_410_A.mtx,15,137071,0,0,1269,18700,21282
dense_420_A.mtx,dense_420_B.mtx,17,148475,0,0,1633,19378,22230
dense_420_B.mtx,dense_420_A.mtx,15,148455,0,0,2840,19476,22794
dense_430_A.mtx,dense_430_B.mtx,16,160723,0,0,1768,20864,24371
dense_430_B.mtx,dense_430_A.mtx,18,160475,0,0,4170,20944,24314
dense_440_A.mtx,dense_440_B.mtx,17,173824,0,0,1736,21989,25765
dense_440_B.mtx,dense_440_A.mtx,17,173994,0,0,1818,22672,25671
dense_450_A.mtx,dense_450_B.mtx,17,192205,0,0,2126,23388,28224
dense_450_B.mtx,dense_450_A.mtx,20,185475,0,0,1625,22801,27115
dense_460_A.mtx,dense_460_B.mtx,19,199942,0,0,2049,23905,29511
dense_460_B.mtx,dense_460_A.mtx,17,199244,0,0,1810,24213,29270
dense_470_A.mtx,dense_470_B.mtx,19,213972,0,0,2264,25491,31242
