Matrix1,Matrix2,cuBlas (µs),cuSparse (µs),gpuDense (µs),gpuSparse (µs),Blas (µs),cpuSparseParallel (µs),cpuDenseParallel (µs)
dense_100_A.mtx,dense_100_B.mtx,33091,4558,0,0,800,2226,654
dense_100_B.mtx,dense_100_A.mtx,1489,4344,0,0,147,547,1561
dense_10_A.mtx,dense_10_B.mtx,3978,1925,0,0,1,584,574
dense_10_B.mtx,dense_10_A.mtx,1334,2047,0,0,1,604,554
dense_110_A.mtx,dense_110_B.mtx,1399,4592,0,0,236,2329,2412
dense_110_B.mtx,dense_110_A.mtx,1631,4285,0,0,181,1286,1942
dense_120_A.mtx,dense_120_B.mtx,1989,5139,0,0,234,1951,2365
dense_120_B.mtx,dense_120_A.mtx,1708,4841,0,0,175,2064,1619
dense_130_A.mtx,dense_130_B.mtx,2301,5382,0,0,237,1983,2899
dense_130_B.mtx,dense_130_A.mtx,1497,5651,0,0,217,1714,2509
dense_140_A.mtx,dense_140_B.mtx,1682,7073,0,0,234,3687,3354
dense_140_B.mtx,dense_140_A.mtx,1452,6698,0,0,958,1933,3204
dense_150_A.mtx,dense_150_B.mtx,1398,7557,0,0,289,3179,4878
dense_150_B.mtx,dense_150_A.mtx,1385,7564,0,0,2124,1954,3083
dense_160_A.mtx,dense_160_B.mtx,1433,8357,0,0,300,2620,3799
dense_160_B.mtx,dense_160_A.mtx,1362,8418,0,0,320,2831,3905
dense_170_A.mtx,dense_170_B.mtx,1412,11013,0,0,345,4105,4340
dense_170_B.mtx,dense_170_A.mtx,1408,10991,0,0,363,5038,3992
dense_180_A.mtx,dense_180_B.mtx,1434,12607,0,0,417,4843,4259
dense_180_B.mtx,dense_180_A.mtx,1342,12414,0,0,422,4677,4202
dense_190_A.mtx,dense_190_B.mtx,1427,14298,0,0,445,4885,4691
dense_190_B.mtx,dense_190_A.mtx,1375,14284,0,0,516,6201,4614
dense_200_A.mtx,dense_200_B.mtx,1368,15821,0,0,1139,7760,3446
dense_200_B.mtx,dense_200_A.mtx,1471,15943,0,0,499,5345,4256
dense_20_A.mtx,dense_20_B.mtx,1331,2052,0,0,2,967,1001
dense_20_B.mtx,dense_20_A.mtx,1341,1725,0,0,3,1026,957
dense_210_A.mtx,dense_210_B.mtx,1398,18012,0,0,547,6928,3948
dense_210_B.mtx,dense_210_A.mtx,1390,17887,0,0,463,5650,4557
dense_220_A.mtx,dense_220_B.mtx,1360,20374,0,0,603,7642,4246
dense_220_B.mtx,dense_220_A.mtx,1421,20490,0,0,604,7022,4280
dense_230_A.mtx,dense_230_B.mtx,1267,23167,0,0,546,7243,4562
dense_230_B.mtx,dense_230_A.mtx,1382,23571,0,0,554,6912,4808
dense_240_A.mtx,dense_240_B.mtx,1434,26189,0,0,626,7644,5076
dense_240_B.mtx,dense_240_A.mtx,1448,26020,0,0,812,7360,5031
dense_250_A.mtx,dense_250_B.mtx,1450,31049,0,0,628,7898,5670
dense_250_B.mtx,dense_250_A.mtx,1992,31354,0,0,620,8154,5519
