Matrix1,Matrix2,cuBlas (µs),cuSparse (µs),gpuDense (µs),gpuSparse (µs),Blas (µs),cpuSparseParallel (µs),cpuDenseParallel (µs)
s-vs-d_0.005_A0.mtx,s-vs-d_0.005_A1.mtx,386055,14342,340282366920938463463374607431768211455,1,122471,7499,340282366920938463463374607431768211455
s-vs-d_0.005_A0.mtx,s-vs-d_0.005_B0.mtx,33521,4610,340282366920938463463374607431768211455,1,77305,1692,340282366920938463463374607431768211455
s-vs-d_0.005_A0.mtx,s-vs-d_0.005_B1.mtx,33893,4688,340282366920938463463374607431768211455,1,94257,3392,340282366920938463463374607431768211455
s-vs-d_0.005_A1.mtx,s-vs-d_0.005_A0.mtx,33292,4035,340282366920938463463374607431768211455,1,74304,4149,340282366920938463463374607431768211455
s-vs-d_0.005_A1.mtx,s-vs-d_0.005_B0.mtx,36793,3112,340282366920938463463374607431768211455,1,81653,6444,340282366920938463463374607431768211455
s-vs-d_0.005_A1.mtx,s-vs-d_0.005_B1.mtx,32284,3400,340282366920938463463374607431768211455,1,82264,2872,340282366920938463463374607431768211455
s-vs-d_0.005_B0.mtx,s-vs-d_0.005_A0.mtx,33210,5743,340282366920938463463374607431768211455,1,73428,6890,340282366920938463463374607431768211455
s-vs-d_0.005_B0.mtx,s-vs-d_0.005_A1.mtx,33357,5189,340282366920938463463374607431768211455,1,80587,3529,340282366920938463463374607431768211455
s-vs-d_0.005_B0.mtx,s-vs-d_0.005_B1.mtx,38374,5033,340282366920938463463374607431768211455,1,79895,2396,340282366920938463463374607431768211455
s-vs-d_0.005_B1.mtx,s-vs-d_0.005_A0.mtx,35563,3988,340282366920938463463374607431768211455,1,79356,3059,340282366920938463463374607431768211455
s-vs-d_0.005_B1.mtx,s-vs-d_0.005_A1.mtx,33792,3924,340282366920938463463374607431768211455,1,84564,6281,340282366920938463463374607431768211455
s-vs-d_0.005_B1.mtx,s-vs-d_0.005_B0.mtx,33322,4241,340282366920938463463374607431768211455,1,76475,2767,340282366920938463463374607431768211455
s-vs-d_0.015_A0.mtx,s-vs-d_0.015_A1.mtx,33308,20949,340282366920938463463374607431768211455,1,92775,5760,340282366920938463463374607431768211455
s-vs-d_0.015_A0.mtx,s-vs-d_0.015_B0.mtx,33309,19058,340282366920938463463374607431768211455,1,76670,6313,340282366920938463463374607431768211455
s-vs-d_0.015_A0.mtx,s-vs-d_0.015_B1.mtx,33929,20451,340282366920938463463374607431768211455,1,92529,12235,340282366920938463463374607431768211455
s-vs-d_0.015_A1.mtx,s-vs-d_0.015_A0.mtx,34046,22141,340282366920938463463374607431768211455,1,75116,6245,340282366920938463463374607431768211455
s-vs-d_0.015_A1.mtx,s-vs-d_0.015_B0.mtx,34200,23649,340282366920938463463374607431768211455,1,70816,6462,340282366920938463463374607431768211455
s-vs-d_0.015_A1.mtx,s-vs-d_0.015_B1.mtx,34230,24595,340282366920938463463374607431768211455,1,67191,6526,340282366920938463463374607431768211455
s-vs-d_0.015_B0.mtx,s-vs-d_0.015_A0.mtx,33970,24058,340282366920938463463374607431768211455,1,81554,9430,340282366920938463463374607431768211455
s-vs-d_0.015_B0.mtx,s-vs-d_0.015_A1.mtx,33489,27443,340282366920938463463374607431768211455,1,65118,7925,340282366920938463463374607431768211455
s-vs-d_0.015_B0.mtx,s-vs-d_0.015_B1.mtx,34308,27922,340282366920938463463374607431768211455,1,64259,8262,340282366920938463463374607431768211455
s-vs-d_0.015_B1.mtx,s-vs-d_0.015_A0.mtx,33816,19134,340282366920938463463374607431768211455,1,110469,6643,340282366920938463463374607431768211455
s-vs-d_0.015_B1.mtx,s-vs-d_0.015_A1.mtx,33085,19676,340282366920938463463374607431768211455,1,69081,6066,340282366920938463463374607431768211455
s-vs-d_0.015_B1.mtx,s-vs-d_0.015_B0.mtx,33489,18310,340282366920938463463374607431768211455,1,67258,5923,340282366920938463463374607431768211455
s-vs-d_0.01_A0.mtx,s-vs-d_0.01_A1.mtx,33184,11725,340282366920938463463374607431768211455,1,63508,4484,340282366920938463463374607431768211455
s-vs-d_0.01_A0.mtx,s-vs-d_0.01_B0.mtx,32776,11814,340282366920938463463374607431768211455,1,66510,4889,340282366920938463463374607431768211455
s-vs-d_0.01_A0.mtx,s-vs-d_0.01_B1.mtx,31943,12351,340282366920938463463374607431768211455,1,68644,4644,340282366920938463463374607431768211455
s-vs-d_0.01_A1.mtx,s-vs-d_0.01_A0.mtx,34985,15574,340282366920938463463374607431768211455,1,81435,5037,340282366920938463463374607431768211455
s-vs-d_0.01_A1.mtx,s-vs-d_0.01_B0.mtx,38410,17481,340282366920938463463374607431768211455,1,69991,5099,340282366920938463463374607431768211455
s-vs-d_0.01_A1.mtx,s-vs-d_0.01_B1.mtx,37436,17771,340282366920938463463374607431768211455,1,68323,4237,340282366920938463463374607431768211455
s-vs-d_0.01_B0.mtx,s-vs-d_0.01_A0.mtx,38633,14015,340282366920938463463374607431768211455,1,72055,3173,340282366920938463463374607431768211455
s-vs-d_0.01_B0.mtx,s-vs-d_0.01_A1.mtx,35743,13902,340282366920938463463374607431768211455,1,73877,3562,340282366920938463463374607431768211455
s-vs-d_0.01_B0.mtx,s-vs-d_0.01_B1.mtx,38253,15471,340282366920938463463374607431768211455,1,73322,3789,340282366920938463463374607431768211455
s-vs-d_0.01_B1.mtx,s-vs-d_0.01_A0.mtx,39374,13043,340282366920938463463374607431768211455,1,73066,2816,340282366920938463463374607431768211455
s-vs-d_0.01_B1.mtx,s-vs-d_0.01_A1.mtx,38304,10503,340282366920938463463374607431768211455,1,69418,3419,340282366920938463463374607431768211455
s-vs-d_0.01_B1.mtx,s-vs-d_0.01_B0.mtx,38575,10127,340282366920938463463374607431768211455,1,63129,3065,340282366920938463463374607431768211455
s-vs-d_0.025_A0.mtx,s-vs-d_0.025_A1.mtx,38910,61303,340282366920938463463374607431768211455,1,88513,14133,340282366920938463463374607431768211455
s-vs-d_0.025_A0.mtx,s-vs-d_0.025_B0.mtx,37537,63759,340282366920938463463374607431768211455,1,67059,12894,340282366920938463463374607431768211455
s-vs-d_0.025_A0.mtx,s-vs-d_0.025_B1.mtx,38563,60753,340282366920938463463374607431768211455,1,64765,13879,340282366920938463463374607431768211455
s-vs-d_0.025_A1.mtx,s-vs-d_0.025_A0.mtx,34113,65304,340282366920938463463374607431768211455,1,76275,15646,340282366920938463463374607431768211455
s-vs-d_0.025_A1.mtx,s-vs-d_0.025_B0.mtx,33504,53478,340282366920938463463374607431768211455,1,66573,16021,340282366920938463463374607431768211455
s-vs-d_0.025_A1.mtx,s-vs-d_0.025_B1.mtx,33689,50043,340282366920938463463374607431768211455,1,65191,14814,340282366920938463463374607431768211455
